id,yearbirth,age,categorical_age,education,maritalstatus,income,categorical_income,kidhome,teenhome,totalchild,dtcustomer,month_year_dtcustomer,recency,recency_category,mntwines,mntwines_category,mntfruits,mntfruits_category,mntmeatproducts,mntmeatproducts_category,mntfishproducts,mntfishproducts_category,mntsweetproducts,mntsweetproducts_category,mntgoldproducts,mntgoldproducts_category,mnttotal,mnttotal_category,numdealspurchases,numdealspurchases_category,numwebpurchases,numwebpurchases_category,numcatalogpurchases,numcatalogpurchases_category,numstorepurchases,numstorepurchases_category,numwebvisitsmonth,numwebvisitsmonth_category,totalpurchases_online,totalpurchases_offline,totalpurchases,totalpurchases_category,behaviour_score,behaviour_category,average_spending,acceptedcmp1,acceptedcmp1_category,acceptedcmp2,acceptedcmp2_category,acceptedcmp3,acceptedcmp3_category,acceptedcmp4,acceptedcmp4_category,acceptedcmp5,acceptedcmp5_category,complain,spending_waiver_online,spending_waiver_online_category,spending_waiver_offline,spending_waiver_offline_category,spending_waiver_total,spending_waiver_total_category,response,response_category,totalacceptedcmp
12116,1978,37,36-55,PhD,Partner,27683.0,Lowest,1,0,1,2012-08-04,2012-08-01,90,1,152,151-500,9,0-15,121,51-250,12,0-30,12,0-30,45,31-80,351,2,4,2-4,6,3-6,2,0-2,4,4-8,8,4-8,8,8,16,3,132,Hibernating,21.9375,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1.0,3,0.08888888888888889,2,32,Online Recommended But Still Offline Sometime,0,Reject,0
13831,1987,28,0-35,Graduation,Single,46923.0,Low,1,0,1,2012-08-22,2012-08-01,90,1,85,0-150,44,16-50,54,51-250,102,81-150,78,61-100,6,0-30,369,2,3,2-4,5,3-6,1,0-2,7,4-8,7,4-8,6,10,16,3,132,Hibernating,23.0625,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.8571428571428571,3,0.1111111111111111,2,32,Online Recommended But Still Offline Sometime,0,Reject,0
10001,1985,30,0-35,Master,Partner,7500.0,Lowest,1,0,1,2012-08-01,2012-08-01,98,1,5,0-150,17,16-50,17,0-50,13,0-30,14,0-30,34,31-80,100,1,4,2-4,2,0-2,1,0-2,3,0-3,9,9-15,3,7,10,2,121,Lost,10.0,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.3333333333333333,1,0.07142857142857142,1,11,Not Care At All,0,Reject,0
13586,1949,66,56-90,Graduation,Partner,38823.0,Low,0,1,1,2012-08-30,2012-08-01,56,2,70,0-150,0,0-15,11,0-50,2,0-30,8,0-30,23,0-30,114,2,1,0-1,2,0-2,1,0-2,3,0-3,6,4-8,3,4,7,2,222,Customers Needing Attention,16.285714285714285,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.5,2,0.07142857142857142,1,21,Not Care But Online Prefered,0,Reject,0
10591,1969,46,36-55,Graduation,Single,43638.0,Low,0,1,1,2012-08-06,2012-08-01,37,3,63,0-150,10,0-15,83,51-250,7,0-30,19,0-30,19,0-30,201,2,2,2-4,4,3-6,1,0-2,4,4-8,7,4-8,5,6,11,3,332,Potential Loyalist,18.272727272727273,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.7142857142857143,2,0.16216216216216217,3,23,Offline Recommended But Online Still Fine,0,Reject,0
10703,1975,40,36-55,Master,Single,46098.0,Low,1,1,2,2012-08-18,2012-08-01,86,1,57,0-150,0,0-15,27,0-50,0,0-30,0,0-30,36,31-80,120,2,4,2-4,3,3-6,2,0-2,2,0-3,8,4-8,5,6,11,3,132,Hibernating,10.909090909090908,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.625,2,0.06976744186046512,1,21,Not Care But Online Prefered,0,Reject,0
13782,1958,57,56-90,Graduation,Partner,61074.0,High,0,1,1,2012-08-17,2012-08-01,37,3,789,501-1250,0,0-15,133,51-250,0,0-30,28,0-30,126,81-150,1076,4,6,5-10,11,7-15,5,3-6,8,4-8,7,4-8,16,14,30,5,354,Loyal Customer,35.86666666666667,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.2857142857142856,4,0.3783783783783784,4,44,Both Care,0,Reject,0
12312,1981,34,0-35,PhD,Partner,56937.0,High,1,0,1,2012-08-04,2012-08-01,81,1,746,501-1250,8,0-15,125,51-250,11,0-30,8,0-30,8,0-30,906,4,6,5-10,8,7-15,6,3-6,9,9-15,6,4-8,14,15,29,5,154,Can't lose them,31.24137931034483,0,Reject,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,2.3333333333333335,4,0.18518518518518517,3,43,Online But Offline Still Fine,1,Accept more than once,2
12555,1958,57,56-90,Graduation,Single,68281.0,Highest,0,0,0,2012-08-07,2012-08-01,31,3,995,501-1250,81,51-100,417,251-600,42,31-80,48,31-60,41,31-80,1624,5,1,0-1,2,0-2,9,7-12,13,9-15,5,4-8,11,14,25,4,345,Loyal Customer,64.96,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,2.2,4,0.45161290322580644,5,45,Both Care,1,Accept,1
13015,1972,43,36-55,Graduation,Partner,38988.0,Low,1,2,3,2012-08-20,2012-08-01,90,1,164,151-500,24,16-50,103,51-250,12,0-30,3,0-30,42,31-80,348,2,6,5-10,5,3-6,1,0-2,6,4-8,8,4-8,6,12,18,4,142,Hibernating,19.333333333333332,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0.75,2,0.13333333333333333,3,23,Offline Recommended But Online Still Fine,0,Reject,0
