id,yearbirth,age,categorical_age,education,maritalstatus,income,categorical_income,kidhome,teenhome,totalchild,dtcustomer,recency,mntwines,mntwines_category,mntfruits,mntfruits_category,mntmeatproducts,mntmeatproducts_category,mntfishproducts,mntfishproducts_category,mntsweetproducts,mntsweetproducts_category,mntgoldproducts,mntgoldproducts_category,mnttotal,numdealspurchases,numdealspurchases_category,numwebpurchases,numwebpurchases_category,numcatalogpurchases,numcatalogpurchases_category,numstorepurchases,numstorepurchases_category,numwebvisitsmonth,numwebvisitsmonth_category,totalpurchases,acceptedcmp1,acceptedcmp1_category,acceptedcmp2,acceptedcmp2_category,acceptedcmp3,acceptedcmp3_category,acceptedcmp4,acceptedcmp4_category,acceptedcmp5,acceptedcmp5_category,complain,response,response_category,totalacceptedcmp
13656,1957,58,56-90,Graduation,Single,58138.0,High,0,0,0,2012-09-04,58,635,501-1250,81,51-100,546,251-600,120,81-150,81,61-100,88,81-150,1551,3,2-4,8,7-15,10,7-12,4,4-8,7,4-8,25,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1,Accept,1
13046,1954,61,56-90,Graduation,Single,46344.0,Low,1,1,2,2014-03-08,38,11,0-150,1,0-15,6,0-50,2,0-30,1,0-30,6,0-30,27,2,2-4,1,0-2,1,0-2,2,0-3,5,4-8,6,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12749,1965,50,36-55,Graduation,Partner,71613.0,Highest,0,0,0,2013-08-21,26,426,151-500,49,16-50,127,51-250,111,81-150,21,0-30,42,31-80,776,1,0-1,8,7-15,2,0-2,10,9-15,4,4-8,21,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13161,1984,31,0-35,Graduation,Partner,26646.0,Lowest,1,0,1,2014-02-10,26,11,0-150,4,0-15,20,0-50,10,0-30,3,0-30,5,0-30,53,2,2-4,2,0-2,0,0-2,4,4-8,6,4-8,8,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13752,1981,34,0-35,PhD,Partner,58293.0,High,1,0,1,2014-01-19,94,173,151-500,43,16-50,118,51-250,46,31-80,27,0-30,15,0-30,422,5,5-10,5,3-6,3,3-6,6,4-8,5,4-8,19,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13166,1967,48,36-55,Master,Partner,62513.0,High,0,1,1,2013-09-09,16,520,501-1250,42,16-50,98,51-250,0,0-30,42,31-60,14,0-30,716,2,2-4,6,3-6,4,3-6,10,9-15,6,4-8,22,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12773,1971,44,36-55,Graduation,Single,55635.0,High,0,1,1,2012-11-13,34,235,151-500,65,51-100,164,51-250,50,31-80,49,31-60,27,0-30,590,4,2-4,7,7-15,3,3-6,7,4-8,6,4-8,21,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12156,1985,30,0-35,PhD,Partner,33454.0,Lowest,1,0,1,2013-05-08,32,76,0-150,10,0-15,56,51-250,3,0-30,1,0-30,23,0-30,169,2,2-4,4,3-6,0,0-2,4,4-8,8,4-8,10,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12674,1974,41,36-55,PhD,Partner,30351.0,Lowest,1,0,1,2013-06-06,19,14,0-150,0,0-15,24,0-50,3,0-30,3,0-30,2,0-30,46,1,0-1,3,3-6,0,0-2,2,0-3,9,9-15,6,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1,Accept,1
13512,1950,65,56-90,PhD,Partner,5648.0,Lowest,1,1,2,2014-03-13,68,28,0-150,0,0-15,6,0-50,1,0-30,1,0-30,13,0-30,49,1,0-1,1,0-2,0,0-2,0,0-3,13,9-15,2,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,Accept more than once,0,0,Accept more than once,1
13577,1983,32,0-35,Graduation,Partner,51763.5,High,1,0,1,2013-11-15,11,5,0-150,5,0-15,6,0-50,0,0-30,2,0-30,1,0-30,19,1,0-1,1,0-2,0,0-2,2,0-3,7,4-8,4,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12710,1976,39,36-55,Basic,Partner,7500.0,Lowest,0,0,0,2012-11-13,59,6,0-150,16,16-50,11,0-50,11,0-30,1,0-30,16,0-30,61,1,0-1,2,0-2,0,0-2,3,0-3,8,4-8,6,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12671,1959,56,56-90,Graduation,Single,63033.0,High,0,0,0,2013-11-15,82,194,151-500,61,51-100,480,251-600,120,81-150,81,61-100,30,0-30,966,1,0-1,3,3-6,4,3-6,8,4-8,2,0-3,16,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12195,1952,63,56-90,Master,Single,59354.0,High,1,1,2,2013-11-15,53,233,151-500,2,0-15,53,51-250,3,0-30,5,0-30,14,0-30,310,3,2-4,6,3-6,1,0-2,5,4-8,6,4-8,15,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12854,1987,28,0-35,Graduation,Partner,17323.0,Lowest,0,0,0,2012-10-10,38,3,0-150,14,0-15,17,0-50,6,0-30,1,0-30,5,0-30,46,1,0-1,1,0-2,0,0-2,3,0-3,8,4-8,5,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13320,1946,69,56-90,PhD,Single,82800.0,Highest,0,0,0,2012-11-24,23,1006,501-1250,22,16-50,115,51-250,59,31-80,68,61-100,45,31-80,1315,1,0-1,7,7-15,6,3-6,12,9-15,3,0-3,26,1,Accept,0,Accept more than once,0,Accept more than once,0,Accept more than once,1,Accept more than once,0,1,Accept more than once,3
12573,1980,35,0-35,Graduation,Partner,41850.0,Low,1,1,2,2012-12-24,51,53,0-150,5,0-15,19,0-50,2,0-30,13,0-30,4,0-30,96,3,2-4,3,3-6,0,0-2,3,0-3,8,4-8,9,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13901,1946,69,56-90,Graduation,Partner,37760.0,Low,0,0,0,2012-08-31,20,84,0-150,5,0-15,38,0-50,120,81-150,12,0-30,28,0-30,287,2,2-4,4,3-6,1,0-2,6,4-8,7,4-8,13,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12391,1949,66,56-90,Master,Partner,76995.0,Highest,0,1,1,2013-03-28,91,1012,501-1250,80,51-100,498,251-600,0,0-30,16,0-30,126,81-150,1732,2,2-4,11,7-15,4,3-6,9,9-15,5,4-8,26,1,Accept,0,Accept more than once,0,Accept more than once,0,Accept more than once,0,Accept more than once,0,0,Accept more than once,1
13928,1985,30,0-35,Master,Single,33812.0,Lowest,1,0,1,2012-11-03,86,4,0-150,17,16-50,19,0-50,30,0-30,24,0-30,39,31-80,133,2,2-4,2,0-2,1,0-2,3,0-3,6,4-8,8,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13974,1982,33,0-35,Graduation,Partner,37040.0,Low,0,0,0,2012-08-08,41,86,0-150,2,0-15,73,51-250,69,31-80,38,31-60,48,31-80,316,1,0-1,4,3-6,2,0-2,5,4-8,8,4-8,12,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13219,1979,36,36-55,Graduation,Partner,2447.0,Lowest,1,0,1,2013-01-06,42,1,0-150,1,0-15,555,251-600,1,0-30,1,0-30,1,0-30,560,6,5-10,0,0-2,10,7-12,0,0-3,1,0-3,16,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12250,1949,66,56-90,PhD,Partner,58607.0,High,0,1,1,2012-12-23,63,867,501-1250,0,0-15,86,51-250,0,0-30,0,0-30,19,0-30,972,3,2-4,2,0-2,3,3-6,9,9-15,8,4-8,17,0,Reject,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,0,Accept more than once,1
13533,1954,61,56-90,PhD,Partner,65324.0,High,0,1,1,2014-01-11,0,384,151-500,0,0-15,102,51-250,21,0-30,32,31-60,5,0-30,544,3,2-4,6,3-6,2,0-2,9,9-15,4,4-8,20,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13280,1951,64,56-90,Graduation,Partner,40689.0,Low,0,1,1,2013-03-18,69,270,151-500,3,0-15,27,0-50,39,31-80,6,0-30,99,81-150,444,6,5-10,7,7-15,1,0-2,5,4-8,8,4-8,19,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13292,1969,46,36-55,Graduation,Single,18589.0,Lowest,0,0,0,2013-01-02,89,6,0-150,4,0-15,25,0-50,15,0-30,12,0-30,13,0-30,75,2,2-4,2,0-2,1,0-2,3,0-3,7,4-8,8,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12448,1976,39,36-55,Graduation,Partner,53359.0,High,1,1,2,2013-05-27,4,173,151-500,4,0-15,30,0-50,3,0-30,6,0-30,41,31-80,257,4,2-4,5,3-6,1,0-2,4,4-8,7,4-8,14,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12303,1986,29,0-35,Graduation,Single,52372.5,High,1,0,1,2013-02-20,19,5,0-150,1,0-15,3,0-50,3,0-30,81,61-100,126,81-150,219,0,0-1,11,7-15,0,0-2,0,0-3,1,0-3,11,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12520,1989,26,0-35,Graduation,Partner,38360.0,Low,1,0,1,2013-05-31,26,36,0-150,2,0-15,42,0-50,20,0-30,21,0-30,10,0-30,131,2,2-4,2,0-2,1,0-2,4,4-8,3,0-3,9,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13956,1965,50,36-55,PhD,Partner,84618.0,Highest,0,0,0,2013-11-22,96,684,501-1250,81,51-100,555,251-600,21,0-30,66,61-100,0,0-30,1407,1,0-1,6,3-6,9,7-12,10,9-15,2,0-3,26,0,Reject,0,Reject,0,Reject,0,Reject,1,Accept,0,0,Accept more than once,1
12694,1989,26,0-35,Master,Single,10979.0,Lowest,0,0,0,2014-05-22,34,8,0-150,4,0-15,10,0-50,2,0-30,2,0-30,4,0-30,30,2,2-4,3,3-6,0,0-2,3,0-3,5,4-8,8,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12762,1963,52,36-55,Master,Partner,38620.0,Low,0,0,0,2013-05-11,56,112,0-150,17,16-50,44,0-50,34,31-80,22,0-30,89,81-150,318,1,0-1,2,0-2,5,3-6,3,0-3,3,0-3,11,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13722,1970,45,36-55,Graduation,Partner,40548.0,Low,0,1,1,2012-10-10,31,110,0-150,0,0-15,5,0-50,2,0-30,0,0-30,3,0-30,120,2,2-4,2,0-2,1,0-2,4,4-8,5,4-8,9,0,Reject,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,0,Accept more than once,1
12261,1952,63,56-90,PhD,Single,46610.0,Low,0,2,2,2012-10-29,8,96,0-150,12,0-15,96,51-250,33,31-80,22,0-30,43,31-80,302,6,5-10,4,3-6,1,0-2,6,4-8,6,4-8,17,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1,Accept,1
13470,1946,69,56-90,Master,Partner,68657.0,Highest,0,0,0,2013-02-20,4,482,151-500,34,16-50,471,251-600,119,81-150,68,61-100,22,0-30,1196,1,0-1,3,3-6,5,3-6,9,9-15,7,4-8,18,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
10738,1951,64,56-90,Master,Single,49389.0,Low,1,1,2,2013-08-29,55,40,0-150,0,0-15,19,0-50,2,0-30,1,0-30,3,0-30,65,1,0-1,2,0-2,0,0-2,3,0-3,7,4-8,6,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13450,1970,45,36-55,PhD,Partner,67353.0,High,0,1,1,2013-12-31,37,702,501-1250,17,16-50,151,51-250,0,0-30,8,0-30,35,31-80,913,5,5-10,5,3-6,6,3-6,12,9-15,2,0-3,28,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
10755,1976,39,36-55,Master,Partner,23718.0,Lowest,1,0,1,2013-09-02,76,6,0-150,3,0-15,14,0-50,15,0-30,7,0-30,36,31-80,81,3,2-4,3,3-6,1,0-2,2,0-3,7,4-8,9,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12560,1973,42,36-55,Graduation,Single,42429.0,Low,0,1,1,2014-02-11,99,55,0-150,0,0-15,6,0-50,2,0-30,0,0-30,4,0-30,67,2,2-4,1,0-2,1,0-2,3,0-3,5,4-8,7,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12744,1943,72,56-90,PhD,Single,48948.0,Low,0,0,0,2013-02-01,53,437,151-500,8,0-15,206,51-250,120,81-150,49,31-60,42,31-80,862,2,2-4,7,7-15,10,7-12,5,4-8,6,4-8,24,0,Reject,0,Reject,1,Accept,0,Accept more than once,0,Accept more than once,0,1,Accept more than once,2
13375,1980,35,0-35,Graduation,Partner,80011.0,Highest,0,1,1,2013-04-29,3,421,151-500,76,51-100,536,251-600,82,81-150,81,61-100,102,81-150,1298,2,2-4,8,7-15,6,3-6,5,4-8,4,4-8,21,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12571,1985,30,0-35,Master,Partner,20559.0,Lowest,1,0,1,2013-03-12,88,13,0-150,1,0-15,29,0-50,3,0-30,0,0-30,7,0-30,53,2,2-4,2,0-2,0,0-2,3,0-3,8,4-8,7,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12293,1957,58,56-90,Graduation,Partner,21994.0,Lowest,0,1,1,2012-12-24,4,9,0-150,0,0-15,6,0-50,3,0-30,1,0-30,3,0-30,22,1,0-1,0,0-2,0,0-2,3,0-3,5,4-8,4,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13169,1959,56,56-90,PhD,Single,52278.0,High,0,0,0,2013-11-05,80,81,0-150,11,0-15,50,0-50,3,0-30,2,0-30,39,31-80,186,1,0-1,1,0-2,3,3-6,4,4-8,2,0-3,9,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13815,1975,40,36-55,Master,Partner,7500.0,Lowest,1,0,1,2013-10-02,19,3,0-150,1,0-15,10,0-50,3,0-30,2,0-30,12,0-30,31,3,2-4,2,0-2,0,0-2,3,0-3,5,4-8,8,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13054,1976,39,36-55,Graduation,Single,79941.0,Highest,0,0,0,2014-06-28,72,123,0-150,81,51-100,266,251-600,120,81-150,30,0-30,126,81-150,746,1,0-1,2,0-2,4,3-6,9,9-15,1,0-3,16,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12619,1996,19,0-35,Master,Partner,7500.0,Lowest,0,0,0,2012-11-09,24,3,0-150,18,16-50,14,0-50,15,0-30,22,0-30,50,31-80,122,3,2-4,3,3-6,1,0-2,3,0-3,9,9-15,10,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1,Accept,1
13841,1968,47,36-55,Graduation,Partner,41728.0,Low,1,0,1,2013-05-24,92,13,0-150,6,0-15,15,0-50,3,0-30,5,0-30,13,0-30,55,1,0-1,2,0-2,0,0-2,2,0-3,10,9-15,5,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
13123,1951,64,56-90,Graduation,Single,52372.5,High,2,1,3,2014-01-01,96,48,0-150,5,0-15,48,0-50,6,0-30,10,0-30,7,0-30,124,3,2-4,2,0-2,1,0-2,4,4-8,6,4-8,10,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12869,1954,61,56-90,PhD,Partner,72550.0,Highest,1,1,2,2012-11-08,39,826,501-1250,50,16-50,317,251-600,50,31-80,38,31-60,38,31-80,1319,6,5-10,5,3-6,2,0-2,12,9-15,8,4-8,25,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
12812,1957,58,56-90,Graduation,Single,65486.0,High,0,1,1,2014-05-12,29,245,151-500,19,16-50,125,51-250,37,31-80,67,61-100,14,0-30,507,1,0-1,4,3-6,2,0-2,10,9-15,2,0-3,17,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,0,Reject,0
